Cust Name,MFG SKU,UPC Code,Serial Number,MAC Address,WAVEFORM,Panel LOT #,Ship Date,Kobo PO,Customer PO,Kobo Production Order,Delivery No
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123517,58:B0:D4:34:7F:5B,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V19041AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123518,58:B0:D4:34:B5:A8,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V21589AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123519,58:B0:D4:34:C1:56,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V19103AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123520,58:B0:D4:34:A7:CE,320_R112_AF8401_ED078KH1C1_TC.wbf,EGV57RB29RBV05638AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123522,58:B0:D4:34:47:0E,320_R142_AFB701_ED078KH1C1_TC.wbf,EGVZBRE29S5V00011AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123523,58:B0:D4:34:89:B7,320_R142_AFB701_ED078KH1C1_TC.wbf,EGVZBRE29S6V00152AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123524,58:B0:D4:33:EF:EE,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V13187AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123525,58:B0:D4:33:DE:93,320_R142_AFB701_ED078KH1C1_TC.wbf,EGVZBRE29S6V00160AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123526,58:B0:D4:33:F1:09,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V10801AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123527,58:B0:D4:34:C0:E9,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V20762AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123528,58:B0:D4:34:51:C2,320_R142_AFB701_ED078KH1C1_TC.wbf,EGV57RE29S4V01415AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123529,58:B0:D4:34:89:E3,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V16119AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123531,58:B0:D4:34:3B:75,320_R100_AF7701_ED078KH1C1_TC.wbf,EGVZBRA09R8V02528AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123532,58:B0:D4:34:8A:56,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V21069AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123533,58:B0:D4:34:51:B5,320_R142_AFB701_ED078KH1C1_TC.wbf,EGV57RE29S4V01294AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123534,58:B0:D4:34:52:18,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V05126AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123535,58:B0:D4:34:1A:70,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29RAV00092AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123536,58:B0:D4:33:F1:79,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V17749AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123537,58:B0:D4:34:71:27,320_R112_AF8401_ED078KH1C1_TC.wbf,EGV57RB29RBV04685AL,20170922,4500001792,4500001940,2002840,80124912
Ingram Micro Logistics Canada(CATO),N709-KU-BK-K-EP,6.81495E+11,N709770123538,58:B0:D4:34:C1:76,320_R112_AF8401_ED078KH1C1_TC.wbf,EGVZBRB29R9V22225AL,20170922,4500001792,4500001940,2002840,80124912
